time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio
Flamengo,2020,26,20/12/2020,18:15,Domingo,12,Bahia,Vitória,4,3,Mandante,Flavio Rodrigues De Souza,27.9,5.4,180.5,5.0,27.6,4.2,179.1,6.9,Estádio do Maracanã
Flamengo,2020,27,26/12/2020,19:00,Sábado,12,Fortaleza,Empate,0,0,Visitante,Rafael Traci,26.7,3.9,182.2,7.3,29.0,3.6,178.2,7.6,Estádio Governador Plácido Castelo
Flamengo,2020,28,06/01/2021,21:30,Quarta,01,Fluminense,Derrota,1,2,Mandante,Leandro Pedro Vuaden,27.5,4.6,182.1,6.9,28.4,5.1,180.6,6.6,Estádio do Maracanã
Flamengo,2020,29,10/01/2021,16:00,Domingo,01,Ceará,Derrota,0,2,Mandante,Paulo Roberto Alves Junior,28.8,3.4,183.0,6.8,28.7,4.1,182.1,7.0,Estádio do Maracanã
Flamengo,2020,30,18/01/2021,20:00,Segunda,01,Goiás,Vitória,3,0,Visitante,Rodolpho Toski Marques,29.4,4.2,181.6,8.1,27.7,5.4,183.7,6.3,Serra Dourada
Flamengo,2020,31,21/01/2021,19:00,Quinta,01,Palmeiras,Vitória,2,0,Mandante,Savio Pereira Sampaio,29.0,4.5,180.7,7.1,27.5,5.0,179.5,5.3,Estádio do Maracanã
Flamengo,2020,32,24/01/2021,16:00,Domingo,01,Athletico,Derrota,1,2,Visitante,Leandro Pedro Vuaden,28.8,4.5,181.3,8.2,27.1,4.4,180.0,6.8,Arena da Baixada
Flamengo,2020,23,28/01/2021,20:00,Quinta,01,Grêmio,Vitória,4,2,Visitante,Rodolpho Toski Marques,29.0,4.4,181.8,8.2,28.3,4.9,181.7,6.0,Arena do Grêmio
Flamengo,2020,33,01/02/2021,20:00,Segunda,02,Sport Recife,Vitória,3,0,Visitante,Rafael Traci,30.3,4.2,180.7,6.5,26.7,4.1,180.4,6.7,Ilha do Retiro
Flamengo,2020,34,04/02/2021,21:00,Quinta,02,Vasco da Gama,Vitória,2,0,Mandante,Raphael Claus,29.1,4.4,181.8,8.2,27.5,5.3,178.4,7.2,Estádio do Maracanã
Flamengo,2020,35,07/02/2021,20:30,Domingo,02,Red Bull Bragantino,Empate,1,1,Visitante,Wilton Pereira Sampaio,27.6,4.6,182.1,7.9,27.2,4.5,179.2,6.3,Estádio Nabi Abi Chedid
Flamengo,2020,36,14/02/2021,16:00,Domingo,02,Corinthians,Vitória,2,1,Mandante,Rafael Traci,29.0,4.5,180.7,7.1,27.6,5.0,178.6,8.8,Estádio do Maracanã
Flamengo,2020,37,21/02/2021,16:00,Domingo,02,Internacional,Vitória,2,1,Mandante,Raphael Claus,29.0,4.5,182.0,8.2,25.4,4.8,181.8,5.5,Estádio do Maracanã
Flamengo,2020,38,25/02/2021,21:30,Quinta,02,São Paulo,Derrota,1,2,Visitante,Rodolpho Toski Marques,29.0,4.5,182.0,8.2,27.2,4.9,179.4,6.5,MorumBIS
Flamengo,2021,1,30/05/2021,16:00,Domingo,05,Palmeiras,Vitória,1,0,Mandante,Anderson Daronco,30.5,4.3,180.4,5.0,27.9,5.1,181.0,5.9,Estádio do Maracanã
Flamengo,2021,3,13/06/2021,16:00,Domingo,06,América Mineiro,Vitória,2,0,Mandante,Ramon Abatti Abel,28.5,5.5,179.4,6.3,29.0,5.0,179.1,7.0,Estádio do Maracanã
