time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio
Palmeiras,2022,18,21/07/2022,20:00,Quinta,07,América Mineiro,Vitória,1,0,Visitante,Braulio Da Silva Machado,27.7,4.5,178.6,6.1,29.6,4.2,180.4,9.7,Arena Independência
Palmeiras,2022,19,24/07/2022,16:00,Domingo,07,Internacional,Vitória,2,1,Mandante,Bruno Arleu de Araujo,27.3,4.7,180.1,6.7,27.2,5.3,180.6,6.8,Nubank Parque
Palmeiras,2022,20,30/07/2022,16:30,Sábado,07,Ceará,Vitória,2,1,Visitante,Anderson Daronco,27.7,4.2,180.1,6.7,29.5,3.3,181.7,8.0,Estádio Governador Plácido Castelo
Palmeiras,2022,21,07/08/2022,16:00,Domingo,08,Goiás,Vitória,3,0,Mandante,Jean Pierre Goncalves Lima,27.0,4.3,179.4,6.1,26.0,2.6,181.6,7.8,Nubank Parque
Palmeiras,2022,22,13/08/2022,19:00,Sábado,08,Corinthians,Vitória,1,0,Visitante,Raphael Claus,27.3,3.8,179.4,7.6,26.4,4.8,180.5,7.5,Neo Química Arena
Palmeiras,2022,23,21/08/2022,16:00,Domingo,08,Flamengo,Empate,1,1,Mandante,Ramon Abatti Abel,28.3,3.8,178.2,7.1,26.4,5.4,179.9,6.6,Nubank Parque
Palmeiras,2022,24,27/08/2022,19:00,Sábado,08,Fluminense,Empate,1,1,Visitante,Braulio Da Silva Machado,28.3,3.8,178.2,7.1,28.9,6.4,178.3,6.6,Estádio do Maracanã
Palmeiras,2022,25,03/09/2022,19:00,Sábado,09,Red Bull Bragantino,Empate,2,2,Visitante,Raphael Claus,26.0,4.2,181.2,5.0,25.4,3.2,180.5,6.6,Estádio Nabi Abi Chedid
Palmeiras,2022,26,10/09/2022,21:00,Sábado,09,Juventude,Vitória,2,1,Mandante,Jefferson Ferreira de Moraes,28.2,3.8,178.1,7.1,28.8,3.2,179.0,7.3,Nubank Parque
Palmeiras,2022,27,18/09/2022,18:30,Domingo,09,Santos,Vitória,1,0,Mandante,Wilton Pereira Sampaio,28.2,3.8,178.1,7.1,26.3,4.4,181.9,8.6,Nubank Parque
Palmeiras,2022,28,28/09/2022,21:45,Quarta,09,Atlético Mineiro,Vitória,1,0,Visitante,Marcelo de Lima Henrique,28.8,3.5,179.5,7.0,30.2,3.9,178.3,6.1,Governador Magalhães Pinto
Palmeiras,2022,29,03/10/2022,20:00,Segunda,10,Botafogo,Vitória,3,1,Visitante,Wilton Pereira Sampaio,29.0,3.6,178.2,6.8,28.1,4.1,182.8,5.3,Estádio Nilton Santos
Palmeiras,2022,30,06/10/2022,19:00,Quinta,10,Coritiba,Vitória,4,0,Mandante,Braulio Da Silva Machado,28.3,3.9,178.8,7.0,26.6,3.8,181.5,8.7,Nubank Parque
Palmeiras,2022,31,10/10/2022,18:30,Segunda,10,Atlético Goianiense,Empate,1,1,Visitante,Bruno Arleu de Araujo,28.7,3.8,178.4,7.1,28.2,3.3,181.0,5.5,Estádio Antônio Accioly
Palmeiras,2022,32,16/10/2022,16:00,Domingo,10,São Paulo,Empate,0,0,Mandante,Flavio Rodrigues De Souza,28.6,3.8,179.2,6.2,27.9,5.6,180.8,5.2,Nubank Parque
Palmeiras,2022,33,22/10/2022,21:00,Sábado,10,Avaí,Vitória,3,0,Mandante,Bruno Arleu de Araujo,29.1,3.6,178.2,6.8,29.3,4.0,180.5,5.2,Nubank Parque
Palmeiras,2022,34,25/10/2022,21:45,Terça,10,Athletico,Vitória,3,1,Visitante,Braulio Da Silva Machado,28.7,3.8,178.4,7.1,23.9,3.3,181.2,5.9,Arena da Baixada
Palmeiras,2022,35,02/11/2022,21:30,Quarta,11,Fortaleza,Vitória,4,0,Mandante,Wilton Pereira Sampaio,27.5,5.1,177.9,7.2,30.5,3.9,179.0,5.9,Nubank Parque
Palmeiras,2022,36,06/11/2022,18:30,Domingo,11,Cuiabá,Empate,1,1,Visitante,Braulio Da Silva Machado,27.0,4.7,179.5,7.6,29.3,3.2,183.0,3.9,Arena Pantanal
Palmeiras,2022,37,09/11/2022,21:30,Quarta,11,América Mineiro,Vitória,2,1,Mandante,Savio Pereira Sampaio,27.1,5.5,177.9,7.2,31.3,3.1,180.2,7.4,Nubank Parque
Palmeiras,2022,38,13/11/2022,16:00,Domingo,11,Internacional,Derrota,0,3,Visitante,Bruno Arleu de Araujo,25.9,4.4,179.2,8.2,27.4,4.8,178.7,7.2,Estádio Beira-Rio
Palmeiras,2023,1,15/04/2023,16:00,Sábado,04,Cuiabá,Vitória,2,1,Mandante,Paulo Cesar Zanovelli da Silva,26.7,5.6,178.9,7.7,29.6,3.7,181.5,3.9,Nubank Parque
Palmeiras,2023,2,23/04/2023,16:00,Domingo,04,Vasco da Gama,Empate,2,2,Visitante,Rafael Rodrigo Klein,26.6,4.2,179.5,7.3,25.4,3.9,180.8,5.3,Estádio São Januário
Palmeiras,2023,3,29/04/2023,18:30,Sábado,04,Corinthians,Vitória,2,1,Mandante,Wilton Pereira Sampaio,28.3,3.4,177.5,7.7,26.3,5.2,179.8,7.5,Nubank Parque
Palmeiras,2023,4,07/05/2023,18:30,Domingo,05,Goiás,Vitória,5,0,Visitante,Wagner do Nascimento Magalhaes,28.7,3.4,177.3,7.5,28.3,3.7,180.8,5.6,Estádio da Serrinha
